"DF_Classification"	"DF_pANN"
"Singlet"	0.348837209302326
"Singlet"	0.228682170542636
"Singlet"	0.22093023255814
"Singlet"	0.302325581395349
"Doublet"	0.414728682170543
"Singlet"	0.27906976744186
"Singlet"	0.333333333333333
"Singlet"	0.217054263565891
"Singlet"	0.232558139534884
"Singlet"	0.286821705426357
"Doublet"	0.356589147286822
"Singlet"	0.197674418604651
"Doublet"	0.372093023255814
"Singlet"	0.248062015503876
"Doublet"	0.36046511627907
"Singlet"	0.298449612403101
"Singlet"	0.232558139534884
"Singlet"	0.193798449612403
"Doublet"	0.356589147286822
"Singlet"	0.236434108527132
"Singlet"	0.348837209302326
"Singlet"	0.321705426356589
"Singlet"	0.282945736434109
"Singlet"	0.24031007751938
"Singlet"	0.197674418604651
"Singlet"	0.251937984496124
"Singlet"	0.162790697674419
"Singlet"	0.325581395348837
"Doublet"	0.387596899224806
"Singlet"	0.213178294573643
"Singlet"	0.236434108527132
"Singlet"	0.306201550387597
"Singlet"	0.197674418604651
"Singlet"	0.282945736434109
"Singlet"	0.224806201550388
"Singlet"	0.205426356589147
"Singlet"	0.306201550387597
"Singlet"	0.224806201550388
"Singlet"	0.333333333333333
"Singlet"	0.27906976744186
"Singlet"	0.271317829457364
"Singlet"	0.282945736434109
"Singlet"	0.228682170542636
"Singlet"	0.228682170542636
"Singlet"	0.348837209302326
"Singlet"	0.302325581395349
"Doublet"	0.449612403100775
"Singlet"	0.298449612403101
"Singlet"	0.251937984496124
"Singlet"	0.24031007751938
"Singlet"	0.275193798449612
"Singlet"	0.348837209302326
"Singlet"	0.286821705426357
"Singlet"	0.22093023255814
"Singlet"	0.248062015503876
"Singlet"	0.209302325581395
"Singlet"	0.282945736434109
"Singlet"	0.313953488372093
"Singlet"	0.341085271317829
"Singlet"	0.313953488372093
"Singlet"	0.209302325581395
"Singlet"	0.275193798449612
"Singlet"	0.25968992248062
"Singlet"	0.25968992248062
"Singlet"	0.255813953488372
"Singlet"	0.244186046511628
"Doublet"	0.352713178294574
"Singlet"	0.224806201550388
"Singlet"	0.209302325581395
"Singlet"	0.282945736434109
"Singlet"	0.189922480620155
"Singlet"	0.333333333333333
"Singlet"	0.228682170542636
"Singlet"	0.251937984496124
"Singlet"	0.317829457364341
"Singlet"	0.341085271317829
"Singlet"	0.333333333333333
"Singlet"	0.248062015503876
"Singlet"	0.236434108527132
"Singlet"	0.236434108527132
"Singlet"	0.263565891472868
"Singlet"	0.313953488372093
"Singlet"	0.22093023255814
"Singlet"	0.271317829457364
"Singlet"	0.294573643410853
"Singlet"	0.224806201550388
"Singlet"	0.201550387596899
"Singlet"	0.209302325581395
"Singlet"	0.325581395348837
"Singlet"	0.22093023255814
"Singlet"	0.275193798449612
"Singlet"	0.217054263565891
"Singlet"	0.290697674418605
"Singlet"	0.294573643410853
"Singlet"	0.329457364341085
"Doublet"	0.403100775193798
"Singlet"	0.27906976744186
"Singlet"	0.24031007751938
"Singlet"	0.209302325581395
"Doublet"	0.372093023255814
"Singlet"	0.25968992248062
"Singlet"	0.325581395348837
"Singlet"	0.302325581395349
"Singlet"	0.25968992248062
"Doublet"	0.364341085271318
"Singlet"	0.341085271317829
"Singlet"	0.201550387596899
"Singlet"	0.310077519379845
"Singlet"	0.25968992248062
"Singlet"	0.213178294573643
"Singlet"	0.263565891472868
"Singlet"	0.313953488372093
"Singlet"	0.22093023255814
"Singlet"	0.248062015503876
"Singlet"	0.325581395348837
"Singlet"	0.294573643410853
"Singlet"	0.213178294573643
"Singlet"	0.244186046511628
"Doublet"	0.364341085271318
"Singlet"	0.271317829457364
"Doublet"	0.368217054263566
"Singlet"	0.302325581395349
"Singlet"	0.306201550387597
"Singlet"	0.341085271317829
"Singlet"	0.193798449612403
"Singlet"	0.341085271317829
"Singlet"	0.329457364341085
"Singlet"	0.197674418604651
"Singlet"	0.333333333333333
"Singlet"	0.27906976744186
"Singlet"	0.337209302325581
"Singlet"	0.232558139534884
"Singlet"	0.337209302325581
"Singlet"	0.344961240310078
"Singlet"	0.224806201550388
"Singlet"	0.341085271317829
"Singlet"	0.275193798449612
"Singlet"	0.275193798449612
"Singlet"	0.263565891472868
"Singlet"	0.302325581395349
"Singlet"	0.248062015503876
"Singlet"	0.298449612403101
"Singlet"	0.197674418604651
"Singlet"	0.213178294573643
"Singlet"	0.306201550387597
"Singlet"	0.228682170542636
"Doublet"	0.356589147286822
"Singlet"	0.337209302325581
"Singlet"	0.275193798449612
"Singlet"	0.236434108527132
"Singlet"	0.302325581395349
"Singlet"	0.251937984496124
"Singlet"	0.321705426356589
"Singlet"	0.302325581395349
"Singlet"	0.228682170542636
"Singlet"	0.275193798449612
"Singlet"	0.244186046511628
"Singlet"	0.321705426356589
"Doublet"	0.395348837209302
"Singlet"	0.317829457364341
"Singlet"	0.306201550387597
"Doublet"	0.36046511627907
"Singlet"	0.267441860465116
"Singlet"	0.22093023255814
"Singlet"	0.271317829457364
"Singlet"	0.236434108527132
"Doublet"	0.368217054263566
"Singlet"	0.341085271317829
"Singlet"	0.22093023255814
"Singlet"	0.290697674418605
"Singlet"	0.302325581395349
"Singlet"	0.186046511627907
"Singlet"	0.193798449612403
"Singlet"	0.306201550387597
"Singlet"	0.306201550387597
"Singlet"	0.228682170542636
"Doublet"	0.356589147286822
"Singlet"	0.224806201550388
"Singlet"	0.209302325581395
"Singlet"	0.263565891472868
"Doublet"	0.352713178294574
"Singlet"	0.310077519379845
"Singlet"	0.25968992248062
"Doublet"	0.372093023255814
"Singlet"	0.248062015503876
"Singlet"	0.25968992248062
"Singlet"	0.329457364341085
"Singlet"	0.232558139534884
"Singlet"	0.337209302325581
"Singlet"	0.232558139534884
"Singlet"	0.294573643410853
"Singlet"	0.298449612403101
"Singlet"	0.193798449612403
"Singlet"	0.236434108527132
"Doublet"	0.356589147286822
"Singlet"	0.302325581395349
"Singlet"	0.201550387596899
"Singlet"	0.337209302325581
"Singlet"	0.217054263565891
"Singlet"	0.290697674418605
"Singlet"	0.298449612403101
"Singlet"	0.24031007751938
"Singlet"	0.189922480620155
"Singlet"	0.22093023255814
"Singlet"	0.337209302325581
"Singlet"	0.205426356589147
"Singlet"	0.213178294573643
"Singlet"	0.275193798449612
"Singlet"	0.325581395348837
"Singlet"	0.27906976744186
"Singlet"	0.310077519379845
"Singlet"	0.182170542635659
"Singlet"	0.24031007751938
"Singlet"	0.337209302325581
"Singlet"	0.170542635658915
"Singlet"	0.329457364341085
"Singlet"	0.25968992248062
"Singlet"	0.306201550387597
"Singlet"	0.310077519379845
"Singlet"	0.193798449612403
"Doublet"	0.352713178294574
"Singlet"	0.251937984496124
"Singlet"	0.317829457364341
"Singlet"	0.333333333333333
"Singlet"	0.325581395348837
"Singlet"	0.24031007751938
"Singlet"	0.263565891472868
"Doublet"	0.468992248062016
"Singlet"	0.228682170542636
"Singlet"	0.232558139534884
"Singlet"	0.306201550387597
"Singlet"	0.22093023255814
"Singlet"	0.313953488372093
"Singlet"	0.337209302325581
"Singlet"	0.251937984496124
"Singlet"	0.244186046511628
"Doublet"	0.356589147286822
"Singlet"	0.310077519379845
"Singlet"	0.275193798449612
"Singlet"	0.255813953488372
"Singlet"	0.197674418604651
"Singlet"	0.290697674418605
"Singlet"	0.294573643410853
"Singlet"	0.337209302325581
"Singlet"	0.24031007751938
"Doublet"	0.352713178294574
"Singlet"	0.224806201550388
"Singlet"	0.275193798449612
"Singlet"	0.248062015503876
"Singlet"	0.306201550387597
"Singlet"	0.302325581395349
"Singlet"	0.228682170542636
"Doublet"	0.36046511627907
"Singlet"	0.236434108527132
"Singlet"	0.205426356589147
"Singlet"	0.333333333333333
"Singlet"	0.244186046511628
"Singlet"	0.244186046511628
"Singlet"	0.282945736434109
"Singlet"	0.290697674418605
"Singlet"	0.189922480620155
"Singlet"	0.217054263565891
"Singlet"	0.271317829457364
"Singlet"	0.201550387596899
"Singlet"	0.290697674418605
"Singlet"	0.217054263565891
"Singlet"	0.236434108527132
"Singlet"	0.22093023255814
"Singlet"	0.244186046511628
"Singlet"	0.275193798449612
"Singlet"	0.263565891472868
"Singlet"	0.275193798449612
"Singlet"	0.313953488372093
"Singlet"	0.189922480620155
"Singlet"	0.310077519379845
"Singlet"	0.313953488372093
"Singlet"	0.201550387596899
"Singlet"	0.348837209302326
"Singlet"	0.213178294573643
"Singlet"	0.306201550387597
"Singlet"	0.306201550387597
"Singlet"	0.298449612403101
"Singlet"	0.22093023255814
"Singlet"	0.341085271317829
"Doublet"	0.36046511627907
"Singlet"	0.251937984496124
"Singlet"	0.341085271317829
"Singlet"	0.248062015503876
"Singlet"	0.337209302325581
"Singlet"	0.341085271317829
"Singlet"	0.290697674418605
"Singlet"	0.22093023255814
"Singlet"	0.25968992248062
"Singlet"	0.348837209302326
"Singlet"	0.286821705426357
"Singlet"	0.244186046511628
"Singlet"	0.310077519379845
"Singlet"	0.298449612403101
"Singlet"	0.217054263565891
"Doublet"	0.375968992248062
"Singlet"	0.337209302325581
"Singlet"	0.337209302325581
"Singlet"	0.24031007751938
"Singlet"	0.341085271317829
"Singlet"	0.306201550387597
"Singlet"	0.224806201550388
"Singlet"	0.213178294573643
"Singlet"	0.275193798449612
"Singlet"	0.317829457364341
"Singlet"	0.282945736434109
"Singlet"	0.22093023255814
"Doublet"	0.364341085271318
"Singlet"	0.255813953488372
"Singlet"	0.248062015503876
"Singlet"	0.286821705426357
"Singlet"	0.228682170542636
"Doublet"	0.356589147286822
"Singlet"	0.298449612403101
"Singlet"	0.282945736434109
"Singlet"	0.248062015503876
"Singlet"	0.333333333333333
"Doublet"	0.352713178294574
"Singlet"	0.313953488372093
"Singlet"	0.282945736434109
"Singlet"	0.197674418604651
"Singlet"	0.25968992248062
"Singlet"	0.286821705426357
"Singlet"	0.217054263565891
"Singlet"	0.329457364341085
"Singlet"	0.236434108527132
"Singlet"	0.205426356589147
"Doublet"	0.352713178294574
"Singlet"	0.244186046511628
"Singlet"	0.271317829457364
"Singlet"	0.224806201550388
"Singlet"	0.201550387596899
"Singlet"	0.282945736434109
"Singlet"	0.294573643410853
"Singlet"	0.197674418604651
"Singlet"	0.251937984496124
"Singlet"	0.337209302325581
"Singlet"	0.337209302325581
"Singlet"	0.344961240310078
"Singlet"	0.24031007751938
"Singlet"	0.213178294573643
"Singlet"	0.321705426356589
"Singlet"	0.217054263565891
"Singlet"	0.310077519379845
"Singlet"	0.271317829457364
"Doublet"	0.391472868217054
"Singlet"	0.251937984496124
"Singlet"	0.236434108527132
"Singlet"	0.263565891472868
"Singlet"	0.344961240310078
"Singlet"	0.232558139534884
"Singlet"	0.271317829457364
"Singlet"	0.275193798449612
"Singlet"	0.217054263565891
"Singlet"	0.244186046511628
"Singlet"	0.282945736434109
"Singlet"	0.217054263565891
"Singlet"	0.251937984496124
"Singlet"	0.263565891472868
"Singlet"	0.275193798449612
"Doublet"	0.395348837209302
"Singlet"	0.294573643410853
"Singlet"	0.282945736434109
"Singlet"	0.263565891472868
"Singlet"	0.244186046511628
"Singlet"	0.217054263565891
"Singlet"	0.302325581395349
"Singlet"	0.341085271317829
"Singlet"	0.310077519379845
"Singlet"	0.248062015503876
"Singlet"	0.189922480620155
"Singlet"	0.217054263565891
"Singlet"	0.275193798449612
"Singlet"	0.197674418604651
"Singlet"	0.310077519379845
"Singlet"	0.344961240310078
"Singlet"	0.255813953488372
"Singlet"	0.201550387596899
"Singlet"	0.205426356589147
"Singlet"	0.217054263565891
"Singlet"	0.321705426356589
"Singlet"	0.228682170542636
"Singlet"	0.263565891472868
"Singlet"	0.271317829457364
"Singlet"	0.224806201550388
"Singlet"	0.209302325581395
"Doublet"	0.364341085271318
"Doublet"	0.356589147286822
"Singlet"	0.197674418604651
"Singlet"	0.321705426356589
"Singlet"	0.22093023255814
"Singlet"	0.282945736434109
"Singlet"	0.193798449612403
"Singlet"	0.267441860465116
"Doublet"	0.368217054263566
"Singlet"	0.209302325581395
"Singlet"	0.313953488372093
"Singlet"	0.209302325581395
"Singlet"	0.193798449612403
"Singlet"	0.344961240310078
"Singlet"	0.275193798449612
"Singlet"	0.27906976744186
"Doublet"	0.356589147286822
"Singlet"	0.275193798449612
"Singlet"	0.348837209302326
"Singlet"	0.294573643410853
"Doublet"	0.36046511627907
"Singlet"	0.25968992248062
"Singlet"	0.25968992248062
"Singlet"	0.251937984496124
"Singlet"	0.333333333333333
"Singlet"	0.294573643410853
"Doublet"	0.352713178294574
"Singlet"	0.25968992248062
"Doublet"	0.410852713178295
"Singlet"	0.197674418604651
"Singlet"	0.255813953488372
"Singlet"	0.337209302325581
"Singlet"	0.306201550387597
"Singlet"	0.25968992248062
"Singlet"	0.27906976744186
"Singlet"	0.329457364341085
"Doublet"	0.395348837209302
"Singlet"	0.224806201550388
"Doublet"	0.352713178294574
"Singlet"	0.298449612403101
"Singlet"	0.310077519379845
"Singlet"	0.251937984496124
"Singlet"	0.294573643410853
"Singlet"	0.213178294573643
"Singlet"	0.217054263565891
"Singlet"	0.255813953488372
"Singlet"	0.236434108527132
"Singlet"	0.282945736434109
"Singlet"	0.213178294573643
"Singlet"	0.244186046511628
"Singlet"	0.325581395348837
"Singlet"	0.263565891472868
"Singlet"	0.209302325581395
"Singlet"	0.333333333333333
"Singlet"	0.182170542635659
"Singlet"	0.224806201550388
"Doublet"	0.352713178294574
"Singlet"	0.232558139534884
"Singlet"	0.306201550387597
"Singlet"	0.24031007751938
"Singlet"	0.213178294573643
"Singlet"	0.286821705426357
"Singlet"	0.267441860465116
"Singlet"	0.290697674418605
"Doublet"	0.356589147286822
"Singlet"	0.282945736434109
"Singlet"	0.244186046511628
"Singlet"	0.329457364341085
"Singlet"	0.25968992248062
"Singlet"	0.341085271317829
"Singlet"	0.310077519379845
"Singlet"	0.232558139534884
"Singlet"	0.333333333333333
"Singlet"	0.294573643410853
"Singlet"	0.298449612403101
"Singlet"	0.337209302325581
"Singlet"	0.236434108527132
"Singlet"	0.337209302325581
"Singlet"	0.162790697674419
"Singlet"	0.263565891472868
"Singlet"	0.193798449612403
"Singlet"	0.217054263565891
"Singlet"	0.244186046511628
"Singlet"	0.224806201550388
"Singlet"	0.329457364341085
"Singlet"	0.217054263565891
"Singlet"	0.255813953488372
"Singlet"	0.24031007751938
"Singlet"	0.251937984496124
"Singlet"	0.348837209302326
"Singlet"	0.313953488372093
"Singlet"	0.341085271317829
"Singlet"	0.282945736434109
"Singlet"	0.298449612403101
"Singlet"	0.248062015503876
"Singlet"	0.213178294573643
"Singlet"	0.236434108527132
"Singlet"	0.22093023255814
"Singlet"	0.228682170542636
"Singlet"	0.27906976744186
"Singlet"	0.290697674418605
"Singlet"	0.228682170542636
"Singlet"	0.251937984496124
"Singlet"	0.25968992248062
"Doublet"	0.352713178294574
"Singlet"	0.282945736434109
"Singlet"	0.182170542635659
"Singlet"	0.282945736434109
"Singlet"	0.197674418604651
"Singlet"	0.25968992248062
"Singlet"	0.298449612403101
"Singlet"	0.302325581395349
"Singlet"	0.255813953488372
"Singlet"	0.282945736434109
"Singlet"	0.213178294573643
"Singlet"	0.162790697674419
"Singlet"	0.186046511627907
"Singlet"	0.197674418604651
"Singlet"	0.232558139534884
"Singlet"	0.298449612403101
"Singlet"	0.313953488372093
"Singlet"	0.236434108527132
"Singlet"	0.271317829457364
"Singlet"	0.236434108527132
"Singlet"	0.271317829457364
"Singlet"	0.337209302325581
"Singlet"	0.224806201550388
"Singlet"	0.248062015503876
"Singlet"	0.201550387596899
"Singlet"	0.302325581395349
"Singlet"	0.228682170542636
"Singlet"	0.267441860465116
"Singlet"	0.263565891472868
"Singlet"	0.333333333333333
"Singlet"	0.255813953488372
"Singlet"	0.209302325581395
"Singlet"	0.251937984496124
"Singlet"	0.341085271317829
"Singlet"	0.213178294573643
"Singlet"	0.178294573643411
"Singlet"	0.205426356589147
"Singlet"	0.329457364341085
"Singlet"	0.205426356589147
"Singlet"	0.317829457364341
"Singlet"	0.24031007751938
"Singlet"	0.325581395348837
"Singlet"	0.333333333333333
"Singlet"	0.24031007751938
"Singlet"	0.217054263565891
"Singlet"	0.348837209302326
"Singlet"	0.27906976744186
"Singlet"	0.251937984496124
"Singlet"	0.290697674418605
"Singlet"	0.232558139534884
"Singlet"	0.286821705426357
"Singlet"	0.286821705426357
"Singlet"	0.317829457364341
"Singlet"	0.224806201550388
"Singlet"	0.302325581395349
"Doublet"	0.364341085271318
"Singlet"	0.236434108527132
"Singlet"	0.325581395348837
"Singlet"	0.224806201550388
"Singlet"	0.341085271317829
"Singlet"	0.244186046511628
"Singlet"	0.271317829457364
"Singlet"	0.27906976744186
"Doublet"	0.364341085271318
"Singlet"	0.232558139534884
"Singlet"	0.294573643410853
"Singlet"	0.22093023255814
"Doublet"	0.364341085271318
"Singlet"	0.228682170542636
"Singlet"	0.232558139534884
"Doublet"	0.352713178294574
"Singlet"	0.302325581395349
"Singlet"	0.248062015503876
"Singlet"	0.182170542635659
"Singlet"	0.197674418604651
"Singlet"	0.25968992248062
"Singlet"	0.236434108527132
"Doublet"	0.364341085271318
"Singlet"	0.224806201550388
"Singlet"	0.275193798449612
"Singlet"	0.228682170542636
"Singlet"	0.337209302325581
"Singlet"	0.302325581395349
"Singlet"	0.286821705426357
"Singlet"	0.248062015503876
"Singlet"	0.248062015503876
"Doublet"	0.352713178294574
"Doublet"	0.352713178294574
"Singlet"	0.271317829457364
"Singlet"	0.244186046511628
"Singlet"	0.271317829457364
"Singlet"	0.213178294573643
"Singlet"	0.267441860465116
"Singlet"	0.209302325581395
"Singlet"	0.263565891472868
"Singlet"	0.217054263565891
"Singlet"	0.201550387596899
"Singlet"	0.201550387596899
"Singlet"	0.232558139534884
"Singlet"	0.310077519379845
"Singlet"	0.325581395348837
"Singlet"	0.294573643410853
"Singlet"	0.271317829457364
"Singlet"	0.286821705426357
"Singlet"	0.290697674418605
"Singlet"	0.348837209302326
"Doublet"	0.410852713178295
"Doublet"	0.364341085271318
"Singlet"	0.209302325581395
"Singlet"	0.298449612403101
"Singlet"	0.310077519379845
"Singlet"	0.286821705426357
"Singlet"	0.271317829457364
"Doublet"	0.356589147286822
"Doublet"	0.352713178294574
"Singlet"	0.302325581395349
"Singlet"	0.337209302325581
"Singlet"	0.267441860465116
"Doublet"	0.352713178294574
"Singlet"	0.236434108527132
"Singlet"	0.321705426356589
"Singlet"	0.209302325581395
"Singlet"	0.232558139534884
"Singlet"	0.24031007751938
"Singlet"	0.275193798449612
"Singlet"	0.22093023255814
"Singlet"	0.255813953488372
"Singlet"	0.333333333333333
"Singlet"	0.248062015503876
"Singlet"	0.294573643410853
"Doublet"	0.445736434108527
"Singlet"	0.186046511627907
"Singlet"	0.302325581395349
"Singlet"	0.317829457364341
"Singlet"	0.228682170542636
"Singlet"	0.271317829457364
"Singlet"	0.209302325581395
"Singlet"	0.267441860465116
"Singlet"	0.313953488372093
"Singlet"	0.255813953488372
"Doublet"	0.352713178294574
"Singlet"	0.352713178294574
"Singlet"	0.290697674418605
"Singlet"	0.344961240310078
"Doublet"	0.383720930232558
"Singlet"	0.333333333333333
"Singlet"	0.248062015503876
"Singlet"	0.348837209302326
"Singlet"	0.317829457364341
"Singlet"	0.27906976744186
"Singlet"	0.213178294573643
"Singlet"	0.22093023255814
"Singlet"	0.317829457364341
"Singlet"	0.317829457364341
"Singlet"	0.251937984496124
"Singlet"	0.317829457364341
"Singlet"	0.348837209302326
"Singlet"	0.213178294573643
"Singlet"	0.255813953488372
"Singlet"	0.294573643410853
"Singlet"	0.263565891472868
"Singlet"	0.286821705426357
"Singlet"	0.25968992248062
"Doublet"	0.364341085271318
"Singlet"	0.217054263565891
"Singlet"	0.224806201550388
"Singlet"	0.25968992248062
"Singlet"	0.178294573643411
"Singlet"	0.27906976744186
"Singlet"	0.228682170542636
"Singlet"	0.24031007751938
"Singlet"	0.337209302325581
"Singlet"	0.232558139534884
"Singlet"	0.294573643410853
"Doublet"	0.36046511627907
"Doublet"	0.368217054263566
"Singlet"	0.201550387596899
"Singlet"	0.271317829457364
"Singlet"	0.25968992248062
"Singlet"	0.286821705426357
"Singlet"	0.24031007751938
"Singlet"	0.271317829457364
"Singlet"	0.286821705426357
"Singlet"	0.248062015503876
"Singlet"	0.290697674418605
"Singlet"	0.298449612403101
"Doublet"	0.364341085271318
"Singlet"	0.209302325581395
"Singlet"	0.24031007751938
"Singlet"	0.224806201550388
"Singlet"	0.22093023255814
"Singlet"	0.209302325581395
"Singlet"	0.248062015503876
"Singlet"	0.27906976744186
"Singlet"	0.275193798449612
"Singlet"	0.337209302325581
"Singlet"	0.248062015503876
"Singlet"	0.325581395348837
